;Name;Vorname;Fraktion/Gruppe;18-003-01;18-003-02;18-010-01;18-010-02;18-011-01;18-017-01;18-017-02;18-018-01;18-018-02;18-020-01;18-026-01;18-026-02;18-026-03;18-029-01;18-030-01;18-033-01;18-033-02;18-033-03;18-036-01;18-036-02;18-036-03;18-036-04;18-037-01;18-037-02;18-037-03;18-037-04;18-039-01;18-042-01;18-042-02;18-042-03;18-042-04;18-044-01;18-044-02;18-044-03;18-044-04;18-044-05;18-044-06;18-044-07;18-046-01;18-046-02;18-046-03;18-046-04;18-046-05;18-046-06;18-047-01;18-054-01;18-054-02;18-054-03;18-060-01;18-061-01;18-061-02;18-061-03;18-061-04;18-066-10;18-066-01;18-066-02;18-066-03;18-066-04;18-066-05;18-066-06;18-066-07;18-066-08;18-066-09;18-069-01;18-071-01;18-071-02;18-076-01;18-076-02;18-076-03;18-076-04;18-082-01;18-082-02;18-088-01;18-089-01;18-091-01;18-091-02;18-097-01;18-097-02;18-098-01;18-098-02;18-098-03;18-098-04;18-098-05;18-098-06;18-098-07;18-106-01;18-106-02;18-107-01;18-112-01;18-113-01;18-113-02;18-113-03;18-115-01;18-115-02;18-115-03;18-115-04;18-115-05;18-115-06;18-117-01;18-117-02;18-117-03;18-118-01;18-127-01;18-127-02;18-127-03;18-128-01;18-130-01;18-130-02;18-130-03;18-130-04;18-130-05;18-131-01;18-133-01;18-133-02;18-134-01;18-134-03;18-136-01;18-136-02;18-139-01;18-141-01;18-141-02;18-143-01;18-144-01;18-144-02;18-146-01;18-146-02;18-152-01;18-152-02;18-154-01;18-155-01;18-158-01;18-158-02;18-158-03;18-160-01;18-161-01;18-164-01;18-167-01;18-167-02;18-170-01;18-170-02;18-170-03;18-170-04;18-170-05;18-171-01;18-179-01;18-179-02;18-179-03;18-180-01;18-180-02;18-183-01;18-183-02;18-183-03;18-183-04;18-184-01;18-190-01;18-190-04;18-190-03;18-193-01;18-193-02;18-193-03;18-198-01;18-198-02;18-198-03;18-199-01;18-199-02;18-200-01;18-202-01;18-204-01;18-206-01;18-206-02;18-209-01;18-209-02;18-209-03;18-209-04;18-209-05;18-212-01;18-212-02;18-212-03;18-215-01;18-215-02;18-221-01;18-221-02;18-221-03;18-221-04;18-226-01;18-226-02;18-228-01;18-228-02;18-228-03;18-234-01;18-234-02;18-237-10;18-237-11;18-237-12;18-237-13;18-237-01;18-237-02;18-237-03;18-237-04;18-237-05;18-237-06;18-237-07;18-237-08;18-237-09;18-239-01;18-239-02;18-240-01;18-240-02;18-241-01;18-243-01;18-243-02;18-244-01
17;Bosbach;Wolfgang;CDU/CSU;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Abwesend;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Abwesend;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Abwesend;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Abwesend;Abwesend;Ja;Ja;Enthaltung;Abwesend;Ja;Ja;Abwesend;Nein;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Ja;Abwesend;Abwesend;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Nein;Ja;Nein;Abwesend;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Ja;Ja;Ja;Abwesend;Abwesend;Nein;Ja;Nein;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Ja;Abwesend;Abwesend;Abwesend;Abwesend;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Nein;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Abwesend;Abwesend;Ja;Ja;Nein;Abwesend;Abwesend;Nein
18;Brackmann;Norbert;CDU/CSU;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Abwesend;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Abwesend;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein
19;Brähmig;Klaus;CDU/CSU;Ja;Abwesend;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Abwesend;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Abwesend;Abwesend;Ja;Ja;Nein;Ja;Ja;Nein
20;Brand;Michael;CDU/CSU;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Abwesend;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Nein;Ja;Nein;Ja;Nein;Ja;Abwesend;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein
21;Brandl;Reinhard;CDU/CSU;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Abwesend;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Abwesend;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Abwesend;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Abwesend;Ja;Ja;Nein
22;Brandt;Helmut;CDU/CSU;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein
23;Brauksiepe;Ralf;CDU/CSU;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein
24;Braun;Helge;CDU/CSU;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Abwesend;Ja;Nein;Ja;Nein;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Abwesend;Ja;Nein;Ja;Ja;Abwesend;Abwesend;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Ja;Ja;Ja;Nein;Abwesend;Abwesend;Ja;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Ja;Ja;Abwesend;Abwesend;Abwesend;Nein;Ja;Abwesend;Ja;Ja;Ja;Ja;Nein;Abwesend;Abwesend;Abwesend;Abwesend;Nein;Ja;Ja;Nein;Ja;Abwesend;Abwesend;Ja;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Ja;Ja;Abwesend;Abwesend;Abwesend;Ja;Abwesend;Nein;Ja;Nein;Ja;Ja;Abwesend;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend;Ja;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Abwesend;Ja;Abwesend;Abwesend;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Abwesend;Ja;Ja;Nein
25;Brehmer;Heike;CDU/CSU;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Abwesend;Abwesend;Abwesend;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Ja;Nein;Ja;Nein;Abwesend;Abwesend;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Abwesend;Abwesend;Abwesend;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Abwesend;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend;Ja;Ja;Abwesend;Abwesend;Abwesend;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein
26;Brinkhaus;Ralph;CDU/CSU;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Abwesend;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein
27;Caesar;Cajus;CDU/CSU;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Abwesend;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein
28;Connemann;Gitta;CDU/CSU;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Abwesend;Nein;Nein;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Abwesend;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Abwesend;Abwesend;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Abwesend;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
29;Dobrindt;Alexander;CDU/CSU;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Ja;Ja;Nein;Ja;Nein;Abwesend;Abwesend;Abwesend;Abwesend;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Abwesend;Abwesend;Abwesend;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Abwesend;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Ja;Abwesend;Ja;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Abwesend;Abwesend;Abwesend;Abwesend;Nein;Ja;Ja;Nein
30;Dörflinger;Thomas;CDU/CSU;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Abwesend;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Abwesend;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Enthaltung;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein
